store_number,store_name,dba,address,address_line_2,city,state,zip_code,country,phone_number,store_type,website_address,latitude,longitude,country_code,county,geo_accuracy
0149bb93-458a-e111-8dde-005056934050,West Milford Recycling Center Donation Bin,Goodwill Industries,183 University Drive,,Amherst,MA,01002,United States,(413) 835-0096,"Donation Center,retail Store",Http://www.goodwillmass.org,42.36743476,-72.53502663,US,Hampshire,AGGDATA_VERIFIED: ROOFTOP
C551053a-458a-e111-8dde-005056934050,Hasbrouck Heights Dpw Donation Bin,Goodwill Industries,1604 Memorial Drive,,Chicopee,MA,01020,United States,(413) 315-8170,"Donation Center,retail Store",Http://www.goodwillmass.org,42.20080365,-72.5744223,US,Hampden,AGGDATA_VERIFIED: ROOFTOP
234307da-534a-ed11-8102-00505689ac90,South Hackensack Outlet Store & Donation Center,Goodwill Industries,971 Bridge Road,,Northampton,MA,01060,United States,(413) 320-4911,"Donation Center,retail Store",Http://www.goodwillmass.org,42.337459,-72.638225,US,Hampshire,AGGDATA_VERIFIED: ROOFTOP
953f83e5-5912-e811-b706-005056890337,Shrewsbury Donation Center,Goodwill Industries,245 Cadwell Drive,,Springfield,MA,01104,United States,(413) 788-6981,"Career Services,staffing Services",Http://www.goodwillmass.org,42.153112,-72.545433,US,Hampden,PREMISE: ROOFTOP
C2e6cd81-458a-e111-8dde-005056934050,"One North Mall Drive, Ocean, Nj",Goodwill Industries,666 Bliss Rd,,Longmeadow,MA,01106,United States,(413) 222-9980,Donation Center,Http://www.goodwillmass.org,42.0569826,-72.55515179,US,Hampden,AGGDATA_VERIFIED: ROOFTOP
91092436-df40-e911-80e0-00505689ac90,1002-a State Route 36,Goodwill Industries,5 Cheshire Road,,Pittsfield,MA,01201,United States,(413) 442-6627,"Donation Center,retail Store",Http://www.goodwill-berkshires.com,42.469438,-73.205711,US,Berkshire,PREMISE: ROOFTOP
042f7ee3-67b3-e411-b4ab-0050568924e6,Wall Donation Center,Goodwill Industries,158 Tyler St,,Pittsfield,MA,01201,United States,(413) 442-0061,Donation Center,Http://www.goodwill-berkshires.com,42.4578914,-73.24607139,US,Berkshire,AGGDATA_VERIFIED: ROOFTOP
12b5d323-9f56-eb11-80ee-00505689ac90,Hazlet Store & Donation Center,Goodwill Industries,158 Tyler St.,,Pittsfield,MA,01201,United States,(413) 442-0061,,Http://www.goodwill-berkshires.com,42.4578914,-73.24607139,US,Berkshire,AGGDATA_VERIFIED: ROOFTOP
4ce5a4e8-8d76-e211-87d7-0050568924e6,Rockaway Borough Recycling Center Donation Bin,Goodwill Industries,228 Stockbridge Rd,,Great Barrington,MA,01230,United States,(413) 344-1920,"Donation Center,retail Store",Http://www.goodwill-berkshires.com,42.205657,-73.345853,US,Berkshire,PREMISE: ROOFTOP
0f50d37b-458a-e111-8dde-005056934050,Rockaway Store & Donation Center,Goodwill Industries,85 Center Street,,Lee,MA,01238,United States,(413) 442-0061,"Donation Center,retail Store",Http://www.goodwill-berkshires.com,42.31026481,-73.25215842,US,Berkshire,AGGDATA_VERIFIED: ROOFTOP
B395dfa0-71b4-e911-80e2-00505689ac90,Chester - Church Of The Messiah,Goodwill Industries,68 Willow Creek Road,,Lenox,MA,01240,United States,(413) 442-0061,Donation Center,Http://www.goodwill-berkshires.com,42.35461944,-73.24347317,US,Berkshire,AGGDATA_VERIFIED: ROOFTOP
9d19f063-458a-e111-8dde-005056934050,Florham Park Donation Bin,Goodwill Industries,The Center At Lenox,,Lenox,MA,01240,United States,(413) 442-0061,Donation Center,Http://www.goodwill-berkshires.com,42.404856,-73.2656034,US,Berkshire,PREMISE: ROOFTOP
Bf48bb93-458a-e111-8dde-005056934050,Morris Plains Recycling Center Donation Bin,Goodwill Industries,166 State Street,,North Adams,MA,01247,United States,(413) 749-8999,"Donation Center,retail Store",Http://www.goodwill-berkshires.com,42.69471795,-73.11417377,US,Berkshire,AGGDATA_VERIFIED: ROOFTOP
