order_item_id,order_id,sku,quantity,unit_price,discount_amount
OI00000001,ORD0042966,SKU002243,1,1579.96,0.0
OI00000002,ORD0062053,SKU004249,3,2091.87,0.0
OI00000003,ORD0059016,SKU010507,3,235.08,109.91
OI00000004,ORD0063963,SKU009621,5,1588.74,814.74
OI00000005,ORD0088181,SKU005944,1,770.76,0.0
OI00000006,ORD0020346,SKU001951,3,264.81,167.25
OI00000007,ORD0029254,SKU005262,2,536.64,54.34
OI00000008,ORD0097054,SKU002356,3,1827.69,562.36
OI00000009,ORD0080518,SKU009054,2,296.76,192.49
OI00000010,ORD0018912,SKU000302,1,306.78,99.49
OI00000011,ORD0033324,SKU009046,5,3207.63,5201.56
OI00000012,ORD0105663,SKU006413,1,607.7,270.09
OI00000013,ORD0104984,SKU009671,4,277.35,0.0
OI00000014,ORD0017468,SKU000903,2,1111.06,0.0
OI00000015,ORD0079795,SKU012008,1,1174.67,120.48
OI00000016,ORD0048937,SKU004561,1,337.59,34.62
OI00000017,ORD0086869,SKU006360,1,482.14,0.0
OI00000018,ORD0061487,SKU006740,4,1219.38,246.96
OI00000019,ORD0049489,SKU007521,5,474.54,0.0
OI00000020,ORD0113733,SKU011728,2,476.0,0.0
OI00000021,ORD0058712,SKU006286,2,701.18,0.0
OI00000022,ORD0057349,SKU007315,4,553.51,345.05
OI00000023,ORD0045526,SKU009293,3,2129.53,0.0
OI00000024,ORD0070129,SKU010469,1,4450.49,1978.0
OI00000025,ORD0086636,SKU006440,5,1748.05,896.44
OI00000026,ORD0034348,SKU001881,2,792.15,0.0
OI00000027,ORD0010008,SKU008587,1,837.0,0.0
OI00000028,ORD0088354,SKU000369,1,1455.1,73.68
OI00000029,ORD0059366,SKU010562,3,595.49,183.23
OI00000030,ORD0099549,SKU009496,2,381.85,0.0
OI00000031,ORD0089207,SKU010962,2,729.55,149.65
OI00000032,ORD0046016,SKU005893,3,131.37,0.0
OI00000033,ORD0072703,SKU009554,5,560.98,590.5
OI00000034,ORD0035211,SKU001763,4,1528.94,309.66
OI00000035,ORD0051917,SKU003278,5,2773.12,702.06
