order_id,customer_id,store_id,channel,order_ts,order_status,currency,payment_mode
ORD0000001,CUST009284,ST029,Store,2026-02-01 09:00:56,Completed,INR,UPI
ORD0000002,CUST021495,ST037,Store,2025-11-08 20:36:07,Completed,INR,UPI
ORD0000003,CUST004119,ST040,Store,2026-01-26 09:00:00,Completed,INR,UPI
ORD0000004,CUST014151,,Web,2025-12-13 21:51:17,Completed,INR,Card
ORD0000005,CUST020413,ST018,Store,2026-03-03 16:59:12,Completed,INR,UPI
ORD0000006,CUST020606,,App,2025-09-18 21:44:51,Cancelled,INR,UPI
ORD0000007,CUST018508,ST023,Store,2025-06-09 10:20:40,Completed,INR,UPI
ORD0000008,CUST013019,ST022,Store,2026-02-02 14:06:25,Completed,INR,Card
ORD0000009,CUST017599,,Web,2025-11-27 18:19:01,Completed,INR,Card
ORD0000010,CUST014526,,App,2026-11-27 17:24:34,Completed,INR,UPI
ORD0000011,CUST024877,ST030,Store,2026-02-26 21:29:52,Completed,SGD,UPI
ORD0000012,CUST016575,,Web,2025-01-05 21:19:25,Cancelled,INR,UPI
ORD0000013,CUST011450,ST028,Store,2025-03-10 20:48:45,Completed,INR,Card
ORD0000014,CUST005730,,Web,2025-04-30 16:17:07,Completed,INR,UPI
ORD0000015,CUST012279,,Web,2025-04-16 11:53:32,Completed,INR,UPI
ORD0000016,CUST019011,,Web,2026-11-15 22:30:21,Completed,INR,UPI
ORD0000017,CUST001609,ST033,Store,2026-01-19 08:48:27,Completed,INR,COD
ORD0000018,CUST018280,,Web,2025-10-02 19:13:43,Completed,INR,UPI
ORD0000019,CUST012717,ST023,Store,2025-06-19 15:28:11,Completed,INR,COD
ORD0000020,CUST006424,ST030,Store,2025-03-24 08:23:24,Completed,INR,NetBanking
ORD0000021,CUST016470,ST011,Store,2026-11-26 18:51:14,Completed,INR,COD
ORD0000022,CUST004104,,App,2026-03-16 12:49:52,Completed,INR,UPI
ORD0000023,CUST004852,,Web,2026-02-14 13:38:07,Completed,INR,COD
ORD0000024,CUST022749,ST015,Store,2025-06-15 20:31:13,Completed,INR,UPI
ORD0000025,CUST023064,ST019,Store,2025-10-05 17:47:55,Completed,USD,Wallet
ORD0000026,CUST004389,,Web,2026-01-01 15:55:44,Completed,INR,UPI
ORD0000027,CUST020812,,App,2026-03-05 07:28:07,Completed,INR,UPI
ORD0000028,CUST001799,,Web,2026-11-23 13:11:18,Completed,INR,COD
ORD0000029,CUST015175,ST018,Store,2025-09-03 15:50:32,Completed,INR,UPI
ORD0000030,CUST021486,ST011,Store,2026-03-11 21:35:49,Completed,USD,UPI
ORD0000031,CUST021545,,Web,2025-04-04 19:21:07,Completed,INR,UPI
ORD0000032,CUST000641,ST016,Store,2025-11-17 11:05:38,Pending,INR,Card
ORD0000033,CUST020033,,Web,2026-10-09 14:22:32,Returned,INR,UPI
ORD0000034,CUST018060,ST034,Store,2025-12-01 16:49:49,Completed,INR,Card
ORD0000035,CUST009636,,Web,2025-05-25 22:00:41,Completed,INR,UPI
ORD0000036,CUST009961,ST022,Store,2025-04-30 17:26:18,Completed,INR,COD
ORD0000037,CUST010057,,Web,2025-11-11 20:24:18,Completed,INR,NetBanking
ORD0000038,CUST010525,,Web,2026-11-20 12:56:55,Completed,INR,Card
ORD0000039,CUST003276,ST037,Store,2026-06-28 08:49:11,Completed,INR,NetBanking
ORD0000040,CUST020299,ST013,Store,2026-01-19 16:30:49,Completed,INR,UPI
ORD0000041,CUST013445,ST016,Store,2026-04-24 20:56:20,Completed,INR,UPI
ORD0000042,CUST007463,,Web,2026-06-26 14:55:35,Completed,INR,UPI
ORD0000043,CUST008801,,App,2026-03-28 13:17:40,Completed,INR,Card
ORD0000044,CUST010181,ST024,Store,2025-04-04 14:53:42,Completed,INR,UPI
ORD0000045,CUST018923,,Web,2025-01-22 08:20:51,Completed,INR,NetBanking
ORD0000046,CUST022437,ST020,Store,2025-06-01 09:27:24,Completed,INR,Wallet
ORD0000047,CUST003089,ST021,Store,2026-11-14 08:07:10,Completed,USD,UPI
ORD0000048,CUST005040,,App,2025-03-13 17:28:18,Completed,INR,COD
ORD0000049,CUST006388,ST018,Store,2025-09-02 09:53:42,Completed,INR,UPI
ORD0000050,CUST009846,,Web,2025-03-26 19:22:57,Completed,INR,Wallet
ORD0000051,CUST007188,ST015,Store,2026-03-14 19:19:18,Completed,INR,Card
ORD0000052,CUST007402,,Web,2026-01-04 08:52:24,Returned,INR,NetBanking
ORD0000053,CUST014585,,Web,2026-02-04 09:23:42,Completed,SGD,UPI
ORD0000054,CUST003637,ST012,Store,2025-05-09 19:55:18,Cancelled,INR,UPI
ORD0000055,CUST012561,ST026,Store,2025-11-29 07:49:43,Completed,INR,UPI
ORD0000056,CUST013238,,App,2026-04-28 22:33:58,Completed,INR,Card
ORD0000057,CUST010074,ST038,Store,2026-04-21 10:32:30,Completed,INR,COD
ORD0000058,CUST006879,,Web,2025-03-30 12:44:46,Completed,INR,UPI
ORD0000059,CUST021576,,Web,2025-12-13 19:07:41,Completed,INR,Card
ORD0000060,CUST011606,ST010,Store,2025-08-19 14:19:44,Completed,INR,UPI
ORD0000061,CUST017024,ST042,Store,2026-01-28 15:03:47,Cancelled,SGD,UPI
ORD0000062,CUST006438,,App,2025-12-28 18:28:50,Completed,INR,UPI
ORD0000063,CUST007476,,Web,2026-10-10 12:33:22,Completed,INR,UPI
ORD0000064,CUST021311,ST001,Store,2025-09-04 11:26:50,Completed,INR,UPI
ORD0000065,CUST000484,,Web,2025-02-10 16:59:59,Completed,INR,Wallet
ORD0000066,CUST021209,ST039,Store,2026-05-19 22:42:23,Completed,INR,COD
ORD0000067,CUST017018,ST017,Store,2026-11-25 19:05:16,Completed,INR,Card
ORD0000068,CUST000863,ST042,Store,2025-04-01 21:12:27,Completed,INR,COD
ORD0000069,CUST012740,ST042,Store,2025-03-12 12:24:59,Completed,INR,UPI
ORD0000070,CUST009602,,Web,2025-04-26 16:27:12,Cancelled,INR,COD
ORD0000071,CUST019858,,App,2026-03-19 08:24:52,Completed,INR,UPI
ORD0000072,CUST003101,,Web,2025-10-30 17:38:04,Returned,INR,Card
ORD0000073,CUST008870,,App,2026-04-14 11:29:57,Completed,INR,UPI
ORD0000074,CUST006869,,Web,2025-10-16 14:02:00,Completed,INR,Wallet
ORD0000075,CUST002949,,Web,2025-08-13 07:45:19,Completed,INR,Card
ORD0000076,CUST001593,,Web,2026-02-21 16:22:49,Completed,INR,UPI
ORD0000077,CUST011677,,App,2025-05-31 22:16:58,Completed,INR,Wallet
ORD0000078,CUST017307,,App,2026-05-12 09:49:39,Completed,INR,UPI
ORD0000079,CUST010511,,Web,2026-05-02 15:36:22,Completed,INR,COD
ORD0000080,CUST016576,ST037,Store,2026-04-11 16:23:57,Completed,INR,UPI
ORD0000081,CUST008644,ST006,Store,2025-04-21 16:44:21,Completed,INR,Wallet
ORD0000082,CUST007282,,Web,2026-01-15 21:20:56,Completed,INR,UPI
ORD0000083,CUST005447,,App,2026-03-16 17:25:05,Completed,USD,Wallet
ORD0000084,CUST023320,,Web,2026-02-05 19:34:10,Completed,INR,UPI
ORD0000085,CUST015819,,Web,2025-08-06 14:46:33,Completed,INR,COD
ORD0000086,CUST019117,ST003,Store,2026-06-16 22:06:06,Completed,INR,Card
ORD0000087,CUST005454,,Web,2026-06-08 16:51:14,Completed,INR,UPI
ORD0000088,CUST016798,,Web,2025-04-13 15:19:12,Completed,INR,NetBanking
ORD0000089,CUST014185,,Web,2025-10-17 17:54:27,Completed,INR,Card
ORD0000090,CUST004404,,App,2026-01-27 14:37:34,Completed,INR,Card
ORD0000091,CUST001323,ST015,Store,2026-10-11 12:56:26,Completed,INR,Wallet
ORD0000092,CUST009238,ST009,Store,2025-04-22 19:11:45,Completed,INR,UPI
