return_id,order_id,sku,return_date,return_reason,refund_amount,refund_status
RET000001,ORD0060482,SKU006741,2025-09-22,Quality issue,916.72,Processed
RET000002,ORD0079520,SKU008414,2025-11-03,different from website photo,1069.43,Pending
RET000003,ORD0088887,SKU003684,2025-04-19,SIZE PROBLEM,308.64,Processed
RET000004,ORD0044873,SKU009256,2026-11-16,delivered too late,445.25,Processed
RET000005,ORD0024445,SKU008372,2025-12-22,size chart misleading,470.17,Processed
RET000006,ORD0004809,SKU010605,2025-09-10,ordered by mistake,582.49,Processed
RET000007,ORD0104040,SKU007589,2025-12-03,fabric quality bad,689.81,Processed
RET000008,ORD0115648,SKU001634,2025-09-10,wrong colour delivered,771.76,Processed
RET000009,ORD0089715,SKU009118,2025-12-24,size chart misleading,3211.13,Processed
RET000010,ORD0003247,SKU005207,2025-12-03,stopped working after a day,236.35,Processed
RET000011,ORD0048774,SKU002785,2026-02-01,Not what I ordered,1227.76,Processed
RET000012,ORD0048122,SKU003721,2025-11-22,Doesn't fit properly,525.02,Processed
RET000013,ORD0092505,SKU008468,2025-01-24,found cheaper elsewhere,908.15,Processed
RET000014,ORD0074641,SKU003819,2025-10-20,not as described,75.13,Pending
RET000015,ORD0011505,SKU010571,2026-01-24,didnt fit,719.16,Processed
RET000016,ORD0068392,SKU008853,2025-11-11,Damaged in transit,310.32,Processed
RET000017,ORD0039206,SKU007596,2025-01-29,Not what I ordered,595.8,Processed
RET000018,ORD0109851,SKU004010,2025-04-10,wrong size ordered,186.48,Processed
RET000019,ORD0116242,SKU006582,2025-05-09,ordered by mistake,119.33,Processed
RET000020,ORD0113974,SKU007460,2026-06-22,size chart misleading,135.63,Processed
RET000021,ORD0070064,SKU007502,2025-10-22,item damaged,131.88,Processed
RET000022,ORD0075185,SKU008083,2026-05-11,quality not as expected,192.19,Processed
RET000023,ORD0076072,SKU009442,2025-06-09,Delayed delivery,436.82,Processed
RET000024,ORD0017241,SKU004586,2025-08-10,broken on arrival,205.35,Pending
RET000025,ORD0041014,SKU011083,2026-04-15,quality not as expected,772.44,Rejected
RET000026,ORD0085568,SKU001569,2026-06-26,arrived damaged!!,558.11,Processed
RET000027,ORD0016647,SKU009136,2025-08-18,Quality issue,471.87,Processed
RET000028,ORD0071008,SKU003826,2026-04-30,dont want it now,710.07,Processed
RET000029,ORD0077885,SKU005602,2025-12-29,cheap material,214.54,Processed
RET000030,ORD0037569,SKU001091,2025-12-15,didnt fit,726.98,Processed
RET000031,ORD0108514,SKU011477,2026-04-17,packaging torn item broken,1497.13,Processed
RET000032,ORD0089957,SKU000676,2026-04-03,not durable,713.38,Processed
RET000033,ORD0101629,SKU001795,2025-11-09,no longer needed,1601.27,Processed
RET000034,ORD0066666,SKU010284,2026-04-14,Damaged in transit,209.25,Processed
